Expert,Node
0,0
1,0
2,2
3,1
4,3
5,2
6,1
7,3
8,1
9,2
10,2
11,3
12,3
13,1
14,0
15,0
16,1
17,3
18,1
19,0
20,3
21,2
22,2
23,0
24,2
25,3
26,0
27,0
28,1
29,2
30,3
31,1
32,2
33,0
34,3
35,2
36,3
37,0
38,1
39,1
40,0
41,3
42,3
43,0
44,1
45,2
46,2
47,1
48,2
49,1
50,3
51,1
52,3
53,0
54,0
55,2
56,0
57,3
58,1
59,1
60,3
61,2
62,0
63,2
64,3
65,2
66,0
67,2
68,1
69,1
70,0
71,3
72,1
73,2
74,2
75,3
76,3
77,0
78,0
79,1
80,0
81,3
82,0
83,3
84,1
85,2
86,2
87,1
88,1
89,1
90,3
91,2
92,0
93,3
94,2
95,0
96,3
97,1
98,2
99,0
100,3
101,2
102,1
103,0
104,1
105,2
106,1
107,0
108,0
109,2
110,3
111,3
112,0
113,1
114,2
115,3
116,3
117,1
118,2
119,0
120,0
121,2
122,0
123,2
124,3
125,1
126,1
127,3
128,2
129,3
130,2
131,3
132,1
133,1
134,0
135,0
136,3
137,0
138,2
139,0
140,1
141,3
142,2
143,1
144,0
145,1
146,3
147,0
148,3
149,1
150,2
151,2
152,2
153,0
154,3
155,2
156,0
157,3
158,1
159,1
160,1
161,3
162,2
163,1
164,2
165,0
166,0
167,3
168,0
169,0
170,3
171,3
172,1
173,1
174,2
175,2
176,1
177,0
178,2
179,1
180,3
181,0
182,3
183,2
184,1
185,3
186,2
187,0
188,1
189,2
190,3
191,0
192,1
193,2
194,1
195,2
196,0
197,3
198,3
199,0
200,2
201,0
202,1
203,3
204,3
205,0
206,1
207,2
208,2
209,3
210,1
211,1
212,2
213,0
214,3
215,0
216,3
217,1
218,2
219,3
220,0
221,1
222,2
223,0
224,2
225,0
226,1
227,0
228,3
229,3
230,1
231,2
232,3
233,3
234,2
235,1
236,0
237,0
238,1
239,2
240,0
241,1
242,3
243,0
244,1
245,3
246,2
247,2
248,2
249,3
250,0
251,0
252,2
253,1
254,1
255,3
